nohup: ignoring input
============================================================
  ARCHITECTURE ABLATION PIPELINE
============================================================
  Device:       cuda
  Epochs:       100
  Batch size:   128

── Loading Dataset ...
  Loading dataset from: /opt/watchdog/users/cerussite/alok/work/torch_sliding_dataset.pt
  Dataset loaded: 2703 samples
  Input shape:  (2703, 7, 32, 32)
  Label shape:  (2703, 32, 32)
  Input dtype:  torch.float32
  Label dtype:  torch.int64
  Input range:  [-0.27, 36037.00]
  Label unique: [1, 2, 7, 8, 11]
  Metadata rows: 2703

  Channel normalization stats:
    B2: mean=9037.26, std=1453.98
    B3: mean=9768.10, std=1757.99
    B4: mean=9573.81, std=2217.61
    B5: mean=14449.58, std=4230.16
    B6: mean=12468.06, std=3402.20
    B7: mean=10726.65, std=2952.71
    NDVI: mean=0.18, std=0.15

  Train: 2162 samples
  Val:   541 samples

── Computing class weights ...

============================================================
  TRAINING BACKBONE: resnet18
============================================================
  Params: 14,342,058 trainable

  Ep  36/100 | TrLoss:0.0286 OA:0.9849 mIoU:0.9245 | VaLoss:0.0231 OA:0.9888 mIoU:0.9442 | 1.4s
  Ep  37/100 | TrLoss:0.0280 OA:0.9852 mIoU:0.9232 | VaLoss:0.0244 OA:0.9874 mIoU:0.9296 | 1.4s
  Ep  38/100 | TrLoss:0.0237 OA:0.9876 mIoU:0.9358 | VaLoss:0.0225 OA:0.9879 mIoU:0.9354 | 1.4s
  Ep  39/100 | TrLoss:0.0217 OA:0.9886 mIoU:0.9411 | VaLoss:0.0213 OA:0.9889 mIoU:0.9428 | 1.4s
  Ep  40/100 | TrLoss:0.0226 OA:0.9879 mIoU:0.9405 | VaLoss:0.0204 OA:0.9897 mIoU:0.9448 | 1.4s
  Ep  41/100 | TrLoss:0.0190 OA:0.9902 mIoU:0.9495 | VaLoss:0.0192 OA:0.9903 mIoU:0.9491 | 1.4s
  Ep  42/100 | TrLoss:0.0177 OA:0.9911 mIoU:0.9530 | VaLoss:0.0186 OA:0.9906 mIoU:0.9488 | 1.4s
  Ep  43/100 | TrLoss:0.0169 OA:0.9915 mIoU:0.9532 | VaLoss:0.0193 OA:0.9902 mIoU:0.9468 | 1.4s
  Ep  44/100 | TrLoss:0.0193 OA:0.9900 mIoU:0.9470 | VaLoss:0.0190 OA:0.9900 mIoU:0.9444 | 1.5s
  Ep  45/100 | TrLoss:0.0181 OA:0.9906 mIoU:0.9489 | VaLoss:0.0190 OA:0.9908 mIoU:0.9534 | 1.6s
  Ep  46/100 | TrLoss:0.0163 OA:0.9918 mIoU:0.9560 | VaLoss:0.0174 OA:0.9912 mIoU:0.9512 | 1.4s
  Ep  47/100 | TrLoss:0.0162 OA:0.9916 mIoU:0.9578 | VaLoss:0.0180 OA:0.9910 mIoU:0.9528 | 1.4s
  Ep  48/100 | TrLoss:0.0153 OA:0.9921 mIoU:0.9575 | VaLoss:0.0166 OA:0.9913 mIoU:0.9504 | 1.4s
  Ep  49/100 | TrLoss:0.0150 OA:0.9923 mIoU:0.9582 | VaLoss:0.0166 OA:0.9914 mIoU:0.9497 | 1.4s
  Ep  50/100 | TrLoss:0.0146 OA:0.9925 mIoU:0.9615 | VaLoss:0.0163 OA:0.9921 mIoU:0.9591 | 1.7s
  Ep  51/100 | TrLoss:0.0137 OA:0.9933 mIoU:0.9624 | VaLoss:0.0161 OA:0.9925 mIoU:0.9613 | 1.4s
  Ep  52/100 | TrLoss:0.0136 OA:0.9932 mIoU:0.9622 | VaLoss:0.0159 OA:0.9926 mIoU:0.9625 | 1.4s
  Ep  53/100 | TrLoss:0.0131 OA:0.9936 mIoU:0.9644 | VaLoss:0.0152 OA:0.9929 mIoU:0.9636 | 1.4s
  Ep  54/100 | TrLoss:0.0126 OA:0.9940 mIoU:0.9668 | VaLoss:0.0153 OA:0.9924 mIoU:0.9556 | 1.4s
  Ep  55/100 | TrLoss:0.0124 OA:0.9941 mIoU:0.9662 | VaLoss:0.0154 OA:0.9926 mIoU:0.9568 | 1.4s
  Ep  56/100 | TrLoss:0.0123 OA:0.9941 mIoU:0.9677 | VaLoss:0.0149 OA:0.9923 mIoU:0.9535 | 1.4s
  Ep  57/100 | TrLoss:0.0119 OA:0.9944 mIoU:0.9689 | VaLoss:0.0147 OA:0.9931 mIoU:0.9622 | 1.4s
  Ep  58/100 | TrLoss:0.0114 OA:0.9946 mIoU:0.9696 | VaLoss:0.0148 OA:0.9935 mIoU:0.9683 | 1.4s
  Ep  59/100 | TrLoss:0.0125 OA:0.9939 mIoU:0.9688 | VaLoss:0.0151 OA:0.9926 mIoU:0.9608 | 1.4s
  Ep  60/100 | TrLoss:0.0114 OA:0.9948 mIoU:0.9710 | VaLoss:0.0145 OA:0.9934 mIoU:0.9662 | 1.4s
  Ep  61/100 | TrLoss:0.0110 OA:0.9948 mIoU:0.9702 | VaLoss:0.0145 OA:0.9937 mIoU:0.9688 | 1.5s
  Ep  62/100 | TrLoss:0.0107 OA:0.9952 mIoU:0.9723 | VaLoss:0.0140 OA:0.9938 mIoU:0.9706 | 1.5s
  Ep  63/100 | TrLoss:0.0104 OA:0.9952 mIoU:0.9739 | VaLoss:0.0138 OA:0.9935 mIoU:0.9660 | 1.5s
  Ep  64/100 | TrLoss:0.0106 OA:0.9950 mIoU:0.9728 | VaLoss:0.0138 OA:0.9936 mIoU:0.9655 | 1.4s
  Ep  65/100 | TrLoss:0.0102 OA:0.9954 mIoU:0.9737 | VaLoss:0.0135 OA:0.9937 mIoU:0.9663 | 1.7s
  Ep  66/100 | TrLoss:0.0100 OA:0.9955 mIoU:0.9748 | VaLoss:0.0137 OA:0.9939 mIoU:0.9692 | 1.4s
  Ep  67/100 | TrLoss:0.0100 OA:0.9955 mIoU:0.9752 | VaLoss:0.0134 OA:0.9940 mIoU:0.9698 | 1.4s
  Ep  68/100 | TrLoss:0.0096 OA:0.9956 mIoU:0.9752 | VaLoss:0.0135 OA:0.9940 mIoU:0.9711 | 1.4s
  Ep  69/100 | TrLoss:0.0095 OA:0.9957 mIoU:0.9759 | VaLoss:0.0133 OA:0.9939 mIoU:0.9683 | 1.5s
  Ep  70/100 | TrLoss:0.0098 OA:0.9955 mIoU:0.9756 | VaLoss:0.0133 OA:0.9940 mIoU:0.9693 | 1.8s
  Ep  71/100 | TrLoss:0.0094 OA:0.9956 mIoU:0.9762 | VaLoss:0.0133 OA:0.9943 mIoU:0.9733 | 1.6s
  Ep  72/100 | TrLoss:0.0094 OA:0.9957 mIoU:0.9759 | VaLoss:0.0130 OA:0.9942 mIoU:0.9696 | 1.6s
  Ep  73/100 | TrLoss:0.0095 OA:0.9960 mIoU:0.9784 | VaLoss:0.0129 OA:0.9939 mIoU:0.9672 | 1.6s
  Ep  74/100 | TrLoss:0.0090 OA:0.9961 mIoU:0.9784 | VaLoss:0.0132 OA:0.9942 mIoU:0.9721 | 1.6s
  Ep  75/100 | TrLoss:0.0088 OA:0.9960 mIoU:0.9767 | VaLoss:0.0129 OA:0.9943 mIoU:0.9728 | 1.8s
  Ep  76/100 | TrLoss:0.0093 OA:0.9960 mIoU:0.9773 | VaLoss:0.0128 OA:0.9941 mIoU:0.9694 | 1.7s
  Ep  77/100 | TrLoss:0.0095 OA:0.9959 mIoU:0.9784 | VaLoss:0.0129 OA:0.9942 mIoU:0.9715 | 1.7s
  Ep  78/100 | TrLoss:0.0094 OA:0.9958 mIoU:0.9755 | VaLoss:0.0131 OA:0.9946 mIoU:0.9742 | 1.7s
  Ep  79/100 | TrLoss:0.0089 OA:0.9960 mIoU:0.9755 | VaLoss:0.0125 OA:0.9943 mIoU:0.9704 | 1.8s
